Name,Frequency
Adrian,1
Agnar,1
Aksel,1
Aleksander,1
Ali,1
Amund,1
Andre,1
Andreas,1
Anton,1
Arild,1
Arne,1
Arnfinn,1
Arnold,1
Arnstein,1
Arthur,1
Arve,1
Arvid,1
Asbjørn,1
Asgeir,1
Asle,1
Åsmund,1
Atle,1
Audun,1
Axel,1
Bård,1
Bendik,1
Bengt,1
Benjamin,1
Bernt,1
Bjarte,1
Bjørn,1
Bjørnar,1
Børre,1
Brage,1
Carl,1
Cato,1
Chris,1
Christer,1
Christian,1
Dan,1
Daniel,1
Edvard,1
Edvin,1
Egil,1
Einar,1
Eirik,1
Eivind,1
Elias,1
Endre,1
Erik,1
Erlend,1
Erling,1
Ernst,1
Eskil,1
Espen,1
Even,1
Filip,1
Finn,1
Frank,1
Fredrik,1
Frode,1
Gaute,1
Geir,1
Gisle,1
Gjermund,1
Gudmund,1
Gunnar,1
Gustav,1
Håkon,1
Hallgrim,1
Hallvard,1
Halvard,1
Halvor,1
Harald,1
Håvard,1
Helge,1
Henning,1
Henrik,1
Herman,1
Hugo,1
Ingar,1
Inge,1
Ingvald,1
Ingvar,1
Isak,1
Ivan,1
Jan,1
Jarle,1
Jesper,1
Jo,1
Joachim,1
Joakim,1
Joar,1
Johan,1
Johannes,1
Johnny,1
Jon,1
Jonas,1
Jonny,1
Jørgen,1
Jostein,1
Julian,1
Kaare,1
Karl,1
Karsten,1
Kasper,1
Ken,1
Kenneth,1
Kjell,1
Kjetil,1
Klaus,1
Knut,1
Kolbjørn,1
Kristen,1
Kristian,1
Kristoffer,1
Kurt,1
Lars,1
Lasse,1
Leif,1
Mads,1
Magnar,1
Magne,1
Magnus,1
Marcus,1
Marius,1
Markus,1
Martin,1
Mathias,1
Mats,1
Michael,1
Mikael,1
Mikkel,1
Morten,1
Nicolai,1
Niklas,1
Nikolai,1
Odd,1
Oddbjørn,1
Øistein,1
Ola,1
Olaf,1
Olav,1
Ole,1
Oliver,1
Ørjan,1
Ottar,1
Ove,1
Øystein,1
Øyvind,1
Pål,1
Peder,1
Per,1
Petter,1
Preben,1
Ragnar,1
Rasmus,1
Reidar,1
Richard,1
Roald,1
Roar,1
Robert,1
Robin,1
Rolf,1
Ronald,1
Ronny,1
Roy,1
Runar,1
Sander,1
Sebastian,1
Sigbjørn,1
Sigmund,1
Sigurd,1
Sigve,1
Simen,1
Simon,1
Sivert,1
Sjur,1
Sondre,1
Ståle,1
Steffen,1
Steinar,1
Sten,1
Stian,1
Stig,1
Svein,1
Sven,1
Svend,1
Svenn,1
Sverre,1
Terje,1
Thomas,1
Thor,1
Thorbjørn,1
Thore,1
Thorleif,1
Tobias,1
Tommy,1
Tony,1
Tor,1
Torbjørn,1
Tord,1
Tore,1
Torfinn,1
Torgeir,1
Torleif,1
Tormod,1
Torstein,1
Trond,1
Truls,1
Trygve,1
Trym,1
Ulf,1
Ulrik,1
Vegard,1
Vetle,1
Victor,1
Vidar,1
Viktor,1
Yngvar,1
